id,x,y
1,2.0,4.0
2,2.0,20.0
3,2.0,7.0
4,11.0,7.0
5,11.0,11.0
6,19.0,11.0
7,19.0,10.0
8,11.0,10.0
9,11.0,20.0
10,19.0,20.0
11,15.0,20.0
12,15.0,11.0
13,15.0,10.0
14,15.0,6.0
15,19.0,6.0
16,7.0,7.0
17,7.0,20.0
18,11.0,6.0
19,2.0,6.0
20,7.0,6.0
21,2.0,2.0
22,3.0,20.0
23,3.0,21.0
24,19.0,21.0
25,3.0,38.0
26,19.0,38.0
27,15.0,21.0
28,15.0,38.0
29,11.0,38.0
30,11.0,21.0
31,7.0,21.0
32,7.0,38.0
33,3.0,30.0
34,7.0,30.0
35,1.0,38.0
36,2.0,19.0
37,7.0,19.0
38,11.0,19.0
39,15.0,19.0
40,19.0,19.0
41,1.0,6.0
42,9.0,6.0
43,9.0,5.0
44,11.0,5.0
45,12.0,6.0
46,2.0,11.0
47,3.0,11.0
48,2.0,15.0
49,3.0,15.0
50,7.0,15.0
51,8.0,15.0
52,7.0,12.0
53,8.0,12.0
54,6.0,12.0
55,6.0,15.0
56,2.0,17.0
57,1.0,17.0
58,2.0,13.0
59,1.0,13.0
60,2.0,9.0
61,1.0,9.0
62,3.0,9.0
63,3.0,34.0
64,2.0,34.0
65,3.0,36.0
66,2.0,36.0
67,3.0,27.0
68,2.0,27.0
69,7.0,27.0
70,6.0,27.0
71,7.0,24.0
72,6.0,24.0
73,19.0,17.0
74,18.0,17.0
75,19.0,14.0
76,18.0,14.0
77,15.0,17.0
78,16.0,17.0
79,15.0,14.0
80,16.0,14.0
81,11.0,13.0
82,10.0,13.0
83,11.0,17.0
84,12.0,17.0
85,11.0,15.0
86,12.0,15.0
87,15.0,16.0
88,14.0,16.0
89,15.0,13.0
90,14.0,13.0
91,20.0,17.0
92,19.0,13.0
93,20.0,13.0
94,20.0,21.0
95,19.0,26.0
96,20.0,26.0
97,19.0,32.0
98,20.0,32.0
99,19.0,36.0
100,20.0,36.0
101,15.0,36.0
102,16.0,36.0
103,15.0,29.0
104,16.0,29.0
105,15.0,25.0
106,16.0,25.0
107,17.0,38.0
108,17.0,39.0
109,13.0,38.0
110,13.0,39.0
111,9.0,38.0
112,9.0,39.0
113,5.0,38.0
114,5.0,39.0
115,3.0,37.0
116,7.0,37.0
117,5.0,37.0
118,5.0,36.0
119,7.0,35.0
120,6.0,35.0
121,7.0,32.0
122,6.0,32.0
123,3.0,33.0
124,4.0,33.0
125,3.0,35.0
126,4.0,35.0
127,1.0,39.0
128,15.0,33.0
129,14.0,33.0
130,15.0,26.0
131,14.0,26.0
132,11.0,26.0
133,10.0,26.0
134,11.0,24.0
135,12.0,24.0
136,11.0,33.0
137,10.0,33.0
138,12.0,33.0
139,8.0,27.0
140,7.0,33.0
141,8.0,33.0
142,3.0,23.0
143,2.0,23.0
144,3.0,25.0
145,4.0,25.0
146,19.0,34.0
147,18.0,34.0
148,19.0,29.0
149,18.0,29.0
150,19.0,24.0
151,18.0,24.0
