id,product,level
41,Kiwi,99
61,Apple,99
59,Banana,99
57,Orange,99
49,Grapes,99
47,Mango,99
62,Strawberry,99
55,Lettuce,99
54,Tomato,99
51,Cucumber,99
53,Carrot,99
44,Potato,99
43,Onion,1
43,Garlic,2
45,Flowers,0
143,Croissants,1
143,Baguette,2
68,Bread,1
68,Donuts,2
145,Wraps,1
145,Toast,2
64,Eggs,99
66,Spices,99
126,Sausage,1
126,Bacon,2
124,Chicken,1
124,Turkey,2
118,Ground Beef,1
118,Chicken Wings,2
120,Pork Chops,99
122,Chicken Nuggets,99
141,Flour,1
141,Sugar,2
141,Baking Powder,3
139,Peanut,1
139,Almond,2
139,Cashew,3
127,Creamcheese,1
127,Butter,2
127,Yogurt,3
114,Fallafel,1
114,Tofu,2
114,Hummus,3
112,Salami,99
110,Ham,99
108,Gouda,1
108,Cheddar,2
108,Mozzarella,3
100,Feta,1
100,Parmesan,2
100,Cottage Cheese,3
147,Wine,99
149,Beer,99
151,Whiskey,1
151,Vodka,2
151,Rum,3
98,Milk,99
96,Garlic Butter,1
96,Whipped Cream,2
96,Sour Cream,3
94,Frozen Vegetables,1
94,Frozen Herbs,2
94,Frozen Fruits,3
91,Ice Cream,99
93,Frozen Fries,1
93,Mozzarella Sticks,2
93,Frozen Lasagna,3
74,Frozen Pizza,99
76,Frozen Fish,99
78,Frozen Meat,99
80,Frozen Desserts,99
88,Chips,1
88,Popcorn,2
88,Haribo,3
90,Power Bars,1
90,Chocolate,2
90,Cookies,3
82,Toilet Paper,99
84,Toothpaste,1
84,Shampoo,2
84,Soap,3
70,Hot Dogs,99
72,Burger Buns,99
86,Juice,1
86,Soda,2
86,Water,3
139,Cereal,99
102,Pasta,1
102,Rice,2
102,Quinoa,3
104,Pesto,1
104,Tomato Sauce,2
104,Chilli Oil,3
106,Corn,1
106,Beans,2
106,Lentils,3
129,Olives,1
129,Pickles,2
129,Capers,3
131,Honey,1
131,Jam,2
131,Nutella,3
135,Dog Food,1
135,Cat Food,2
135,Bird Seed,3
137,Olive Oil,1
137,Vegetable Oil,2
137,Coconut Oil,3
133,Vinegar,1
133,Balsamic,2
133,Apple Cider,3
138,Baby Food,1
138,Diapers,2
138,Baby Wipes,3
