node_source,node_target,left_shelf,right_shelf
1,19,1,
19,3,,1,
3,60,1,2
60,46,1,2
46,58,1,2
58,48,1,2
48,56,1,2
56,36,1,2
36,37,8,2
22,17,8,2
23,31,8,2
37,35,9,3
17,9,9,3
31,30,9,3
38,39,10,4
9,11,10,4
30,27,10,4
27,24,11,5
11,10,11,5
39,40,11,5
37,50,3,2
50,52,3,2
52,16,3,2
3,16,2,
19,20,2,
16,4,3,15
20,42,3,15
42,18,3,15
18,4,,16
4,8,3,
8,5,3,
5,81,3,4
81,85,3,4
85,83,3,4
83,38,3,4
8,13,4,16
5,12,4,
12,89,4,5
89,79,4,5
79,87,4,5
87,77,4,5
77,39,4,5
12,6,5,
6,92,5,6
92,75,5,6
75,73,5,6
73,40,5,6
40,10,,6
10,24,,6
24,150,11,6
150,95,11,6
95,148,11,6
148,97,11,6
97,146,11,6
146,99,11,6
99,26,11,6
6,7,6,
23,142,7,8
142,144,7,8
144,67,7,8
67,33,7,8
33,34,14,8
33,123,12,14
123,63,12,14
63,125,12,14
125,65,12,14
65,115,12,14
115,117,13,14
117,116,13,14
31,71,8,9
71,69,8,9
69,34,8,9
34,121,14,9
121,140,14,9
140,119,14,9
119,116,14,9
30,134,9,10
132,9,10
132,136,9,10
136,29,9,10
29,111,9,13
11,32,9,13
23,113,14,13
113,25,13,14
25,35,13,14
27,105,10,11
105,130,10,11
130,103,10,11
103,128,10,11
128,101,10,11
101,28,10,11
29,109,13,10
109,28,13,10
28,107,13,11
107,26,13,11
13,7,5,
