source,target,weight
1,2,16.0
1,21,2.0
2,9,9.0
3,4,9.0
4,5,4.0
4,18,1.0
5,6,8.0
5,9,9.0
6,7,1.0
6,10,9.0
7,8,8.0
7,15,4.0
9,10,8.0
9,30,1.0
10,24,1.0
11,12,9.0
11,27,1.0
12,13,1.0
13,14,4.0
16,17,13.0
16,20,1.0
17,31,1.0
18,19,9.0
18,44,1.0
18,45,1.0
19,41,1.0
22,23,1.0
23,24,16.0
23,25,17.0
24,26,17.0
24,94,1.0
25,26,16.0
25,35,2.0
27,28,17.0
29,30,17.0
31,32,17.0
33,34,4.0
35,127,1.0
36,37,5.0
37,38,4.0
38,39,4.0
39,40,4.0
42,43,1.0
46,47,1.0
48,49,1.0
50,51,1.0
50,55,1.0
52,53,1.0
52,54,1.0
56,57,1.0
58,59,1.0
60,61,1.0
60,62,1.0
63,64,1.0
65,66,1.0
67,68,1.0
69,70,1.0
69,139,1.0
71,72,1.0
73,74,1.0
73,91,1.0
75,76,1.0
77,78,1.0
79,80,1.0
81,82,1.0
83,84,1.0
85,86,1.0
87,88,1.0
89,90,1.0
92,93,1.0
95,96,1.0
97,98,1.0
99,100,1.0
101,102,1.0
103,104,1.0
105,106,1.0
107,108,1.0
109,110,1.0
111,112,1.0
113,114,1.0
113,117,1.0
115,116,4.0
117,118,1.0
119,120,1.0
121,122,1.0
123,124,1.0
125,126,1.0
128,129,1.0
130,131,1.0
132,133,1.0
134,135,1.0
136,137,1.0
136,138,1.0
140,141,1.0
142,143,1.0
144,145,1.0
146,147,1.0
148,149,1.0
150,151,1.0
